set,image_path,label
TRAIN,gs://art_translate_1/baroque/,baroque
TRAIN,gs://art_translate_1/baroque/10.JPG,baroque
TRAIN,gs://art_translate_1/baroque/100.JPG,baroque
TRAIN,gs://art_translate_1/baroque/102.JPG,baroque
TRAIN,gs://art_translate_1/baroque/103.JPG,baroque
TRAIN,gs://art_translate_1/baroque/104.JPG,baroque
TRAIN,gs://art_translate_1/baroque/10_Figures_in_Burger_Costume.jpg,baroque
TRAIN,gs://art_translate_1/baroque/10_The_Coronation_in_Saint_Deni.jpg,baroque
TRAIN,gs://art_translate_1/baroque/11.JPG,baroque
TRAIN,gs://art_translate_1/baroque/11_The_Death_of_Henry_IV_and_th.jpg,baroque
TRAIN,gs://art_translate_1/baroque/12.JPG,baroque
TRAIN,gs://art_translate_1/baroque/12_The_Council_of_the_Gods_162.jpg,baroque
TRAIN,gs://art_translate_1/baroque/13.JPG,baroque
TRAIN,gs://art_translate_1/baroque/13_The_Regent_Militant_The_Vic.jpg,baroque
TRAIN,gs://art_translate_1/baroque/14.JPG,baroque
TRAIN,gs://art_translate_1/baroque/141.jpg,baroque
TRAIN,gs://art_translate_1/baroque/142.jpg,baroque
TRAIN,gs://art_translate_1/baroque/143.jpg,baroque
TRAIN,gs://art_translate_1/baroque/144.jpg,baroque
TRAIN,gs://art_translate_1/baroque/145.jpg,baroque
TRAIN,gs://art_translate_1/baroque/146.jpg,baroque
TRAIN,gs://art_translate_1/baroque/147.jpg,baroque
TRAIN,gs://art_translate_1/baroque/148.jpg,baroque
TRAIN,gs://art_translate_1/baroque/149.jpg,baroque
TRAIN,gs://art_translate_1/baroque/14_The_Exchange_of_the_Princess.jpg,baroque
TRAIN,gs://art_translate_1/baroque/15.JPG,baroque
TRAIN,gs://art_translate_1/baroque/150.jpg,baroque
TRAIN,gs://art_translate_1/baroque/151.jpg,baroque
TRAIN,gs://art_translate_1/baroque/152.jpg,baroque
TRAIN,gs://art_translate_1/baroque/153.jpg,baroque
TRAIN,gs://art_translate_1/baroque/154.jpg,baroque
TRAIN,gs://art_translate_1/baroque/155.jpg,baroque
TRAIN,gs://art_translate_1/baroque/156.jpg,baroque
TRAIN,gs://art_translate_1/baroque/157.jpg,baroque
TRAIN,gs://art_translate_1/baroque/158.jpg,baroque
TRAIN,gs://art_translate_1/baroque/15_The_Felicity_of_the_Regency_.jpg,baroque
TRAIN,gs://art_translate_1/baroque/16.JPG,baroque
TRAIN,gs://art_translate_1/baroque/161.jpg,baroque
TRAIN,gs://art_translate_1/baroque/162.jpg,baroque
TRAIN,gs://art_translate_1/baroque/163.jpg,baroque
TRAIN,gs://art_translate_1/baroque/164.jpg,baroque
TRAIN,gs://art_translate_1/baroque/165.jpg,baroque
TRAIN,gs://art_translate_1/baroque/16_Louis_XIII_Comes_of_Age_162.jpg,baroque
TRAIN,gs://art_translate_1/baroque/17.JPG,baroque
TRAIN,gs://art_translate_1/baroque/170.jpg,baroque
TRAIN,gs://art_translate_1/baroque/171.jpg,baroque
TRAIN,gs://art_translate_1/baroque/172.jpg,baroque
TRAIN,gs://art_translate_1/baroque/173.jpg,baroque
TRAIN,gs://art_translate_1/baroque/174.jpg,baroque
TRAIN,gs://art_translate_1/baroque/176.jpg,baroque
TRAIN,gs://art_translate_1/baroque/177.jpg,baroque
TRAIN,gs://art_translate_1/baroque/178.jpg,baroque
TRAIN,gs://art_translate_1/baroque/179.jpg,baroque
TRAIN,gs://art_translate_1/baroque/17_The_Flight_from_Blois_1622-.jpg,baroque
TRAIN,gs://art_translate_1/baroque/18.JPG,baroque
TRAIN,gs://art_translate_1/baroque/180.jpg,baroque
TRAIN,gs://art_translate_1/baroque/181.jpg,baroque
TRAIN,gs://art_translate_1/baroque/182.jpg,baroque
TRAIN,gs://art_translate_1/baroque/183.jpg,baroque
TRAIN,gs://art_translate_1/baroque/184.jpg,baroque
TRAIN,gs://art_translate_1/baroque/189.jpg,baroque
TRAIN,gs://art_translate_1/baroque/18_The_Negotiations_at_Angoulêm.jpg,baroque
TRAIN,gs://art_translate_1/baroque/19.JPG,baroque
TRAIN,gs://art_translate_1/baroque/190.jpg,baroque
TRAIN,gs://art_translate_1/baroque/191.jpg,baroque
TRAIN,gs://art_translate_1/baroque/192.jpg,baroque
TRAIN,gs://art_translate_1/baroque/193.jpg,baroque
TRAIN,gs://art_translate_1/baroque/194.jpg,baroque
TRAIN,gs://art_translate_1/baroque/195.jpg,baroque
